           <...>-3563    [004] d..4. 11905.227481: bpf_trace_printk: 24064 delay 4448

 test_proc_image-24064   [004] d..4. 11905.228405: bpf_trace_printk: 24234 delay 509858

 test_proc_image-24234   [004] d..4. 11905.234142: bpf_trace_printk: 24235 delay 6194407

 test_proc_image-24235   [004] d..4. 11905.238182: bpf_trace_printk: 24236 delay 10187313

     ksoftirqd/4-41      [004] d..4. 11905.242845: bpf_trace_printk: 24237 delay 14809102

 test_proc_image-24237   [004] d..4. 11905.245908: bpf_trace_printk: 24238 delay 17823338

 test_proc_image-24238   [004] d..4. 11905.250175: bpf_trace_printk: 24239 delay 22028567

 test_proc_image-24239   [004] d..4. 11905.253930: bpf_trace_printk: 24240 delay 25735018

 test_proc_image-24240   [004] d..4. 11905.258168: bpf_trace_printk: 24241 delay 29926430

 test_proc_image-24241   [004] d..4. 11905.262165: bpf_trace_printk: 24242 delay 33861515

 test_proc_image-24242   [004] d..4. 11905.266152: bpf_trace_printk: 24243 delay 37799406

 test_proc_image-24243   [004] d..4. 11905.270136: bpf_trace_printk: 24244 delay 41743759

 test_proc_image-24244   [004] d..4. 11905.274146: bpf_trace_printk: 24233 delay 46295556

 test_proc_image-24233   [004] d..4. 11905.278143: bpf_trace_printk: 24232 delay 50335110

 test_proc_image-24232   [004] d..4. 11905.282156: bpf_trace_printk: 24231 delay 54392877

 test_proc_image-24231   [004] d..4. 11905.286166: bpf_trace_printk: 24230 delay 58458171

 test_proc_image-24230   [004] d..4. 11905.290164: bpf_trace_printk: 24237 delay 44257445

 test_proc_image-24237   [004] d..4. 11905.294143: bpf_trace_printk: 24239 delay 40215406

 test_proc_image-24239   [004] d..4. 11905.298161: bpf_trace_printk: 24243 delay 28022834

 test_proc_image-24243   [004] d..4. 11905.302148: bpf_trace_printk: 24242 delay 35999207

 test_proc_image-24242   [004] d..4. 11905.306159: bpf_trace_printk: 24241 delay 43998703

 test_proc_image-24241   [004] d..4. 11905.310152: bpf_trace_printk: 24244 delay 36006590

 test_proc_image-24244   [004] d..4. 11905.314156: bpf_trace_printk: 24235 delay 75981108

 test_proc_image-24235   [004] d..4. 11905.318149: bpf_trace_printk: 24240 delay 59986946

 test_proc_image-24240   [004] d..4. 11905.322150: bpf_trace_printk: 24238 delay 71979297

 test_proc_image-24238   [004] d..4. 11905.326156: bpf_trace_printk: 24233 delay 48013460

 test_proc_image-24233   [004] d..4. 11905.330135: bpf_trace_printk: 24236 delay 87314339

 test_proc_image-24236   [004] d..4. 11905.334171: bpf_trace_printk: 24229 delay 106511997

 test_proc_image-24229   [004] d..4. 11905.338161: bpf_trace_printk: 24232 delay 56002898

 test_proc_image-24232   [004] d..4. 11905.342176: bpf_trace_printk: 24234 delay 108037966

 test_proc_image-24234   [004] d..4. 11905.346173: bpf_trace_printk: 24231 delay 60008866

 test_proc_image-24231   [004] d..4. 11905.350161: bpf_trace_printk: 24230 delay 59999989

 test_proc_image-24230   [004] d..4. 11905.354173: bpf_trace_printk: 24237 delay 60030879

 test_proc_image-24237   [004] d..4. 11905.358167: bpf_trace_printk: 24239 delay 60007284

 test_proc_image-24239   [004] d..4. 11905.362166: bpf_trace_printk: 24243 delay 60017823

 test_proc_image-24243   [004] d..4. 11905.366165: bpf_trace_printk: 24241 delay 56014670

     kworker/4:1-174     [004] d..4. 11905.366314: bpf_trace_printk: 24242 delay 60160245

 test_proc_image-24242   [004] d..4. 11905.370165: bpf_trace_printk: 24244 delay 56011483

 test_proc_image-24244   [004] d..4. 11905.374170: bpf_trace_printk: 24235 delay 56020730

 test_proc_image-24235   [004] d..4. 11905.379026: bpf_trace_printk: 24241 delay 12710341

 test_proc_image-24241   [004] d..4. 11905.383001: bpf_trace_printk: 24240 delay 60847453

 test_proc_image-24240   [004] d..4. 11905.386187: bpf_trace_printk: 24238 delay 60027963

 test_proc_image-24238   [004] d..4. 11905.390213: bpf_trace_printk: 24233 delay 60072960

 test_proc_image-24233   [004] d..4. 11905.394181: bpf_trace_printk: 24236 delay 60012125

 test_proc_image-24236   [004] d..4. 11905.398207: bpf_trace_printk: 24229 delay 60047766

