KEYTIME -------------------------------------------------------------------------------------------------
TIME      TGID    PID     EVENT            ARGS/RET/OTHERS
19:53:43  53729   53729   onCPU            oncpu_time:53108295187736 
19:53:43  53729   53729   forkP_enter      child_pid:54042 
19:53:43  53729   53729   offCPU           offcpu_time:53108295557776
19:53:45  53729   53729   forkP_exit       child_pid:54042 
19:53:45  53729   53729   onCPU            oncpu_time:53110296524606 
19:53:45  53729   53729   offCPU           offcpu_time:53110296697252
19:53:45  53729   53729   vforkP_enter     child_pid:54099 
19:53:47  53729   53729   vforkP_exit      child_pid:54099 
19:53:47  53729   53729   onCPU            oncpu_time:53112297213519 
19:53:47  53729   53729   offCPU           offcpu_time:53112297229860
19:53:47  53729   53729   onCPU            oncpu_time:53112297265357 
19:53:47  53729   53729   createT_enter    child_pid:54110 
19:53:47  53729   53729   createT_enter    child_pid:54111 
19:53:47  53729   53729   createT_enter    child_pid:54112 
19:53:47  53729   53729   offCPU           offcpu_time:53112297587586
19:53:47  53729   54112   onCPU            oncpu_time:53112297592144 
19:53:47  53729   54112   offCPU           offcpu_time:53112300525076
19:53:47  53729   54111   onCPU            oncpu_time:53112300550033 
19:53:47  53729   54111   offCPU           offcpu_time:53112305663514
19:53:47  53729   54112   onCPU            oncpu_time:53112305674575 
19:53:47  53729   54112   offCPU           offcpu_time:53112321259243
19:53:47  53729   54110   onCPU            oncpu_time:53112321318404 
19:53:47  53729   54110   offCPU           offcpu_time:53112336301008
19:53:47  53729   54112   onCPU            oncpu_time:53112336320174 
19:53:47  53729   54112   offCPU           offcpu_time:53112355905244
19:53:47  53729   54110   onCPU            oncpu_time:53112355940862 
19:53:47  53729   54110   offCPU           offcpu_time:53112368194815
19:53:47  53729   54110   onCPU            oncpu_time:53112368221375 
19:53:47  53729   54110   offCPU           offcpu_time:53112384315395
19:53:47  53729   54112   onCPU            oncpu_time:53112384338268 
19:53:47  53729   54112   offCPU           offcpu_time:53112399915926
19:53:47  53729   54110   onCPU            oncpu_time:53112399932307 
19:53:47  53729   54110   offCPU           offcpu_time:53112495188334
19:53:47  53729   54110   onCPU            oncpu_time:53112495212710 
19:53:47  53729   54110   offCPU           offcpu_time:53112737930426
19:53:47  53729   54110   onCPU            oncpu_time:53112737956545 
19:53:48  53729   54110   offCPU           offcpu_time:53113200358134
19:53:48  53729   54110   onCPU            oncpu_time:53113200395795 
19:53:48  53729   54110   offCPU           offcpu_time:53113680427905
19:53:48  53729   54110   onCPU            oncpu_time:53113680479483 
19:53:48  53729   54110   offCPU           offcpu_time:53113876469179
19:53:48  53729   54110   onCPU            oncpu_time:53113877238643 
19:53:49  53729   54110   offCPU           offcpu_time:53114192547181
19:53:49  53729   54110   onCPU            oncpu_time:53114192598828 
19:53:50  53729   54110   offCPU           offcpu_time:53114960272325
19:53:50  53729   54110   onCPU            oncpu_time:53114960330364 
19:53:50  53729   54110   offCPU           offcpu_time:53115168215274
19:53:50  53729   54110   onCPU            oncpu_time:53115168262804 
19:53:50  53729   54110   offCPU           offcpu_time:53115306221014
19:53:50  53729   54111   onCPU            oncpu_time:53115306232525 
19:53:50  53729   54111   exit             0 
19:53:50  53729   53729   createT_exit     child_pid:54111 
19:53:50  53729   54111   offCPU           offcpu_time:53115306732911
19:53:50  53729   54110   onCPU            oncpu_time:53115306738942 
19:53:50  53729   54110   offCPU           offcpu_time:53115328305702
19:53:50  53729   54110   onCPU            oncpu_time:53115328333504 
19:53:50  53729   54110   exit             0 
19:53:50  53729   53729   createT_exit     child_pid:54110 
19:53:50  53729   54110   offCPU           offcpu_time:53115353069863
19:53:50  53729   53729   onCPU            oncpu_time:53115353085753 
19:53:50  53729   53729   offCPU           offcpu_time:53115353126029
19:53:50  53729   54110   onCPU            oncpu_time:53115353128594 
19:53:50  53729   54110   offCPU           offcpu_time:53115353157960
19:53:50  53729   54112   onCPU            oncpu_time:53115400289879 
19:53:50  53729   54112   offCPU           offcpu_time:53115400448249
19:53:50  53729   54112   onCPU            oncpu_time:53115400659899 
19:53:50  53729   54112   offCPU           offcpu_time:53115400697620
19:53:50  53729   54112   vforkP_enter     child_pid:54167 
19:53:50  53729   54112   vforkP_exit      child_pid:54167 
19:53:50  53729   53729   onCPU            oncpu_time:53115403523479 
19:53:50  53729   53729   offCPU           offcpu_time:53115403882447
19:53:50  53729   54112   onCPU            oncpu_time:53115403893218 
19:53:50  53729   54112   exit             0 
19:53:50  53729   53729   createT_exit     child_pid:54112 
19:53:50  53729   54112   offCPU           offcpu_time:53115404381210
19:53:50  53729   53729   onCPU            oncpu_time:53115404386760 
19:53:50  53729   53729   offCPU           offcpu_time:53115404444850
19:53:53  53729   53729   onCPU            oncpu_time:53118404821033 
19:53:53  53729   53729   exec_enter       /bin/ls -l 
19:53:53  53729   53729   exec_exit        0 
19:53:53  53729   53729   exit             0 
19:53:53  53729   53729   offCPU           offcpu_time:53118406640861
