SCHEDULE ----------------------------------------------------------------------------------------------------------------------
TIME      TGID    PID     PRIO  | P_AVG_DELAY(ms) S_AVG_DELAY(ms) | P_MAX_DELAY(ms) S_MAX_DELAY(ms) | P_MIN_DELAY(ms) S_MIN_DELAY(ms) |
17:11:34  3872    4113    120   | 59.467123       2.144736        | 63.514180       168.447303      | 55.115178       0.000811        |
17:11:34  3872    4111    120   | 70.724540       2.144736        | 168.447303      168.447303      | 48.383314       0.000811        |
17:11:34  3872    4118    120   | 51.783650       2.144736        | 75.678305       168.447303      | 5.929053        0.000811        |
17:11:34  3872    4122    120   | 53.270254       2.144736        | 64.008041       168.447303      | 21.424066       0.000811        |
17:11:34  3872    4124    120   | 54.993136       2.144736        | 64.017469       168.447303      | 29.279187       0.000811        |
17:11:34  3872    4117    120   | 58.275288       2.144736        | 87.999241       168.447303      | 1.572828        0.000811        |
17:11:34  3872    4112    120   | 63.540576       2.144736        | 103.100616      168.447303      | 51.833236       0.000811        |
17:11:34  3872    4126    120   | 54.250257       2.144736        | 63.984245       168.447303      | 35.810090       0.000811        |
17:11:34  3872    4121    120   | 56.082043       2.144736        | 72.017939       168.447303      | 17.537900       0.000811        |
17:11:34  3872    4125    120   | 54.606786       2.144736        | 64.006418       168.447303      | 24.223488       0.000811        |
17:11:34  3872    3872    120   | 0.009408        2.144736        | 0.009408        168.447303      | 0.009408        0.000811        |
17:11:34  3872    4120    120   | 54.012805       2.144736        | 72.041776       168.447303      | 13.851864       0.000811        |
17:11:34  3872    4114    120   | 58.632552       2.144736        | 60.122812       168.447303      | 50.929526       0.000811        |
17:11:34  3872    4119    120   | 55.774342       2.144736        | 75.654748       168.447303      | 9.873927        0.000811        |
17:11:34  3872    4116    120   | 57.634944       2.144736        | 68.015064       168.447303      | 42.646336       0.000811        |
17:11:34  3872    4123    120   | 55.329449       2.144736        | 71.982481       168.447303      | 25.029627       0.000811        |
17:11:34  3872    4115    120   | 58.050732       2.144736        | 64.011938       168.447303      | 46.839848       0.000811        |
17:11:35  3872    4113    120   | 59.657088       4.565800        | 63.514180       168.447303      | 55.115178       0.000811        |
17:11:35  3872    4111    120   | 64.193215       4.565800        | 168.447303      168.447303      | 48.383314       0.000811        |
17:11:35  3872    4118    120   | 56.072137       4.565800        | 75.678305       168.447303      | 5.929053        0.000811        |
17:11:35  3872    4122    120   | 57.415642       4.565800        | 64.025140       168.447303      | 21.424066       0.000811        |
17:11:35  3872    4124    120   | 57.962909       4.565800        | 64.017469       168.447303      | 29.279187       0.000811        |
17:11:35  3872    4117    120   | 58.974472       4.565800        | 87.999241       168.447303      | 1.572828        0.000811        |
17:11:35  3872    4112    120   | 60.767653       4.565800        | 103.100616      168.447303      | 48.150559       0.000811        |
17:11:35  3872    4126    120   | 57.530368       4.565800        | 63.984245       168.447303      | 35.810090       0.000811        |
17:11:35  3872    4121    120   | 58.353089       4.565800        | 72.017939       168.447303      | 17.537900       0.000811        |
17:11:35  3872    4125    120   | 57.808646       4.565800        | 64.006418       168.447303      | 24.223488       0.000811        |
17:11:35  3872    3872    120   | 0.009408        4.565800        | 0.009408        168.447303      | 0.009408        0.000811        |
17:11:35  3872    4120    120   | 57.704503       4.565800        | 72.041776       168.447303      | 13.851864       0.000811        |
17:11:35  3872    4114    120   | 59.480621       4.565800        | 60.122812       168.447303      | 50.929526       0.000811        |
17:11:35  3872    4119    120   | 59.117997       4.564985        | 75.654748       168.447303      | 9.873927        0.000811        |
17:11:35  3872    4116    120   | 59.303375       4.564985        | 68.015064       168.447303      | 42.646336       0.000811        |
17:11:35  3872    4123    120   | 58.400514       4.564985        | 71.982481       168.447303      | 25.029627       0.000811        |
17:11:35  3872    4115    120   | 58.727576       4.564985        | 64.017946       168.447303      | 46.839848       0.000811        |
17:11:36  3872    4113    120   | 59.789659       6.461882        | 64.027559       168.447303      | 52.244802       0.000811        |
17:11:36  3872    4111    120   | 62.212601       6.461882        | 168.447303      168.447303      | 48.383314       0.000811        |
17:11:36  3872    4118    120   | 57.263918       6.461882        | 75.678305       168.447303      | 5.929053        0.000811        |
17:11:36  3872    4122    120   | 58.376210       6.461882        | 67.525628       168.447303      | 21.424066       0.000811        |
17:11:36  3872    4124    120   | 58.865873       6.461882        | 72.005841       168.447303      | 29.279187       0.000811        |
17:11:36  3872    4117    120   | 59.264278       6.461882        | 87.999241       168.447303      | 1.572828        0.000811        |
17:11:36  3872    4112    120   | 60.108690       6.461882        | 103.100616      168.447303      | 48.150559       0.000811        |
17:11:36  3872    4126    120   | 58.447407       6.461882        | 64.016287       168.447303      | 35.810090       0.000811        |
17:11:36  3872    4121    120   | 59.065913       6.461882        | 80.005683       168.447303      | 17.537900       0.000811        |
17:11:36  3872    4125    120   | 59.141140       6.461882        | 79.777043       168.447303      | 24.223488       0.000811        |
17:11:36  3872    3872    120   | 0.009408        6.461882        | 0.009408        168.447303      | 0.009408        0.000811        |
17:11:36  3872    4120    120   | 58.701831       6.461882        | 72.041776       168.447303      | 13.851864       0.000811        |
17:11:36  3872    4114    120   | 59.668934       6.461882        | 67.731590       168.447303      | 50.929526       0.000811        |
17:11:36  3872    4119    120   | 59.532949       6.461882        | 75.654748       168.447303      | 9.873927        0.000811        |
17:11:36  3872    4116    120   | 58.824834       6.461882        | 68.015064       168.447303      | 42.646336       0.000811        |
17:11:36  3872    4123    120   | 59.425826       6.461882        | 76.022455       168.447303      | 25.029627       0.000811        |
17:11:36  3872    4115    120   | 59.393050       6.461882        | 67.754855       168.447303      | 46.839848       0.000811        |
17:11:37  3872    4113    120   | 59.915565       7.565491        | 64.027559       168.447303      | 52.244802       0.000811        |
17:11:37  3872    4111    120   | 61.787734       7.565491        | 168.447303      168.447303      | 48.383314       0.000811        |
17:11:37  3872    4118    120   | 57.944636       7.565491        | 75.678305       168.447303      | 5.929053        0.000811        |
17:11:37  3872    4122    120   | 58.669888       7.565491        | 67.525628       168.447303      | 21.424066       0.000811        |
17:11:37  3872    4124    120   | 59.315345       7.565491        | 72.005841       168.447303      | 29.279187       0.000811        |
17:11:37  3872    4117    120   | 59.532381       7.565491        | 87.999241       168.447303      | 1.572828        0.000811        |
17:11:37  3872    4112    120   | 60.289967       7.565491        | 103.100616      168.447303      | 48.150559       0.000811        |
17:11:37  3872    4126    120   | 58.987
