KEYTIME -------------------------------------------------------------------------------------------------
TIME      PID     EVENT            ARGS/RET/OTHERS
22:56:47  87636   onCPU            oncpu_time:28225914026947 
22:56:47  87636   forkP_enter      child_pid:87776 
22:56:47  87636   offCPU           offcpu_time:28225914377980
22:56:49  87636   forkP_exit       child_pid:87776 
22:56:49  87636   onCPU            oncpu_time:28227914953829 
22:56:49  87636   offCPU           offcpu_time:28227915048129
22:56:50  87636   onCPU            oncpu_time:28228647285696 
22:56:50  87636   offCPU           offcpu_time:28228647423265
22:56:50  87636   vforkP_enter     child_pid:87875 
22:56:52  87636   vforkP_exit      child_pid:87875 
22:56:52  87636   onCPU            oncpu_time:28230647921618 
22:56:52  87636   offCPU           offcpu_time:28230647997102
22:56:52  87636   onCPU            oncpu_time:28231245748614 
22:56:52  87636   createT_enter    child_pid:87912 
22:56:52  87636   createT_enter    child_pid:87913 
22:56:52  87636   createT_enter    child_pid:87914 
22:56:52  87636   offCPU           offcpu_time:28231246074683
22:56:52  87636   onCPU            oncpu_time:28231346239509 
22:56:52  87636   offCPU           offcpu_time:28231346259948
22:56:52  87636   createT_exit     child_pid:87914 
22:56:54  87636   createT_exit     child_pid:87913 
22:56:55  87636   createT_exit     child_pid:87912 
22:56:55  87636   onCPU            oncpu_time:28234276740364 
22:56:55  87636   offCPU           offcpu_time:28234276779097
22:56:56  87636   onCPU            oncpu_time:28235071961968 
22:56:56  87636   offCPU           offcpu_time:28235072080080
22:56:59  87636   onCPU            oncpu_time:28238072442880 
22:56:59  87636   offCPU           offcpu_time:28238072525043
22:57:00  87636   onCPU            oncpu_time:28238881830869 
22:57:00  87636   exec_enter       /bin/ls -l 
22:57:00  87636   exec_exit        0 
22:57:00  87636   exit             0 
22:57:00  87636   offCPU           offcpu_time:28238883770678
